"retailer","year","new_store","total_store","new_area","total_area","retailer_code","hex","revenue_2022","revenue_2023","mean_revenue","cost_index"
"Aldi",2024,28,1043,25340,881720,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2014,498,498,419580,419580,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2022,44,982,36960,828660,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2023,33,1015,27720,856380,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2018,66,770,55440,650580,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2019,60,830,50400,700980,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2020,51,881,42840,743820,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2021,57,938,47880,791700,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2016,42,610,35280,513660,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2017,94,704,81480,595140,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Aldi",2015,70,568,58800,478380,"ALDI","#0000FFFF","15473348000","17887909000",16681,0.68022668
"Asda",2024,263,1106,37520,1387680,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2023,214,843,29960,1350160,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2016,9,617,14000,1305080,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2022,2,629,280,1320200,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2020,1,627,2800,1319920,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2014,577,577,1256780,1256780,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2021,0,627,0,1319920,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2019,0,626,0,1317120,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2015,31,608,34300,1291080,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2018,1,626,140,1317120,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Asda",2017,8,625,11900,1316980,"ASDA","#1F9698FF","24478000000","25617000000",25048,0.780267263
"Iceland",2015,1,782,840,624680,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2021,16,931,13440,749840,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2023,9,959,7560,773360,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2019,54,891,45360,716240,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2020,24,915,20160,736400,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2022,19,950,15960,765800,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2018,37,837,31080,670880,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2014,781,781,623840,623840,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2024,13,972,10920,784280,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2016,7,789,5880,630560,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Iceland",2017,11,800,9240,639800,"ICE","#A10300FF","3605200000","3864900000",3735,0.772277101
"Lidl",2020,59,835,49560,717780,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
"Lidl",2018,55,715,47460,615720,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
"Lidl",2019,61,776,52500,668220,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
"Lidl",2024,24,1010,20160,866040,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
"Lidl",2021,65,900,54600,772380,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
"Lidl",2022,62,962,52080,824460,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
"Lidl",2023,24,986,21420,845880,"LIDL","#B1CC71FF","7829310000","9300716000",8565,0.668511996
