retailer_code,source_year,year,kpi,method,kpi_type,source_value,source_unit,value,unit,unit_neum,unit_denom_1,unit_denom_2,business_scope,note
ALDI,2021,2020,Scope 1 - 3,Location,Intensity,0.23,tCO2e/m2 Sales Floor,0.23,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2021,2021,Scope 1 - 3,Location,Intensity,0.215,tCO2e/m2 Sales Floor,0.215,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2022,2022,Scope 1 - 3,Location,Intensity,0.196,tCO2e/m2 Sales Floor,0.196,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2023,2022,Scope 1 - 3,Location,Intensity,0.21,tCO2e/m2 Sales Floor,0.21,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2023,2023,Scope 1 - 3,Location,Intensity,0.203,tCO2e/m2 Sales Floor,0.203,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2020,2019,Scope 1 - 3,Location,Intensity,21.2,tCO2e/mGBP Sales,21.2,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2020,2020,Scope 1 - 3,Location,Intensity,18.96,tCO2e/mGBP Sales,18.96,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2021,2020,Scope 1 - 3,Location,Intensity,0.019,tCO2e/mGBP Sales,0.019,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2021,2021,Scope 1 - 3,Location,Intensity,0.0187,tCO2e/mGBP Sales,0.0187,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2022,2022,Scope 1 - 3,Location,Intensity,0.0153,tCO2e/mGBP Sales,0.0153,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2023,2022,Scope 1 - 3,Location,Intensity,15.3425,tCO2e/mGBP Sales,15.3425,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2023,2023,Scope 1 - 3,Location,Intensity,13.1117,tCO2e/mGBP Sales,13.1117,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2021,2020,Scope 1 - 3,Market,Intensity,0.13,tCO2e/m2 Sales Floor,0.13,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2021,2021,Scope 1 - 3,Market,Intensity,0.125,tCO2e/m2 Sales Floor,0.125,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2022,2022,Scope 1 - 3,Market,Intensity,0.117,tCO2e/m2 Sales Floor,0.117,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2023,2022,Scope 1 - 3,Market,Intensity,0.126,tCO2e/m2 Sales Floor,0.126,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2023,2023,Scope 1 - 3,Market,Intensity,0.115,tCO2e/m2 Sales Floor,0.115,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2020,2019,Scope 1 - 3,Market,Intensity,12.27,tCO2e/mGBP Sales,12.27,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2020,2020,Scope 1 - 3,Market,Intensity,10.68,tCO2e/mGBP Sales,10.68,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2021,2020,Scope 1 - 3,Market,Intensity,0.0107,tCO2e/mGBP Sales,0.0107,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2021,2021,Scope 1 - 3,Market,Intensity,0.0109,tCO2e/mGBP Sales,0.0109,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2022,2022,Scope 1 - 3,Market,Intensity,0.0092,tCO2e/mGBP Sales,0.0092,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2023,2022,Scope 1 - 3,Market,Intensity,9.1932,tCO2e/mGBP Sales,9.1932,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2023,2023,Scope 1 - 3,Market,Intensity,7.4253,tCO2e/mGBP Sales,7.4253,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2020,2019,Scope 1 and 2,Location,Intensity,0.224,tCO2e/m2 Sales Floor,0.224,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2020,2020,Scope 1 and 2,Location,Intensity,0.206,tCO2e/m2 Sales Floor,0.206,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2021,2021,Scope 1 and 2,Location,Intensity,0.188,tCO2e/m2 Sales Floor,0.188,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2022,2022,Scope 1 and 2,Location,Intensity,0.171,tCO2e/m2 Sales Floor,0.171,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2023,2023,Scope 1 and 2,Location,Intensity,0.173,tCO2e/m2 Sales Floor,0.173,tCO2e/m2 Sales Floor,tCO2e,m2,Sales Floor,UK,
ALDI,2020,2019,Scope 1 and 2,Location,Intensity,18.99,tCO2e/mGBP Sales,18.99,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2020,2020,Scope 1 and 2,Location,Intensity,16.97,tCO2e/mGBP Sales,16.97,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2021,2020,Scope 1 and 2,Location,Intensity,0.017,tCO2e/mGBP Sales,17,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,Source value * 1000 to align with other values
ALDI,2021,2021,Scope 1 and 2,Location,Intensity,0.0164,tCO2e/mGBP Sales,16.4,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,Source value * 1000 to align with other values
ALDI,2022,2022,Scope 1 and 2,Location,Intensity,0.0134,tCO2e/mGBP Sales,13.4,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,Source value * 1000 to align with other values
ALDI,2023,2022,Scope 1 and 2,Location,Intensity,13.3857,tCO2e/mGBP Sales,13.3857,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2023,2023,Scope 1 and 2,Location,Intensity,11.1809,tCO2e/mGBP Sales,11.1809,tCO2e/mGBP Sales,tCO2e,mGBP,Sales,UK,
ALDI,2020,2019,Energy,,Measure,750247,MWh,750.247,GWh,,,,UK,
ALDI,2020,2020,Energy,,Measure,795826,MWh,795.826,GWh,,,,UK,
ALDI,2021,2021,Energy,,Measure,798298,MWh,798.298,GWh,,,,UK,
ALDI,2022,2022,Energy,,Measure,790180,MWh,790.18,GWh,,,,UK,
ALDI,2023,2022,Energy,,Measure,813398,MWh,813.398,GWh,,,,UK,
ALDI,2023,2023,Energy,,Measure,806664,MWh,806.664,GWh,,,,UK,
ALDI,2020,2019,Scope 1,Location,Measure,113533,tCO2e,113533,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1,Location,Measure,106812,tCO2e,106812,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1,Location,Measure,105622,tCO2e,105622,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1,Location,Measure,105463,tCO2e,105463,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1,Location,Measure,103564,tCO2e,103564,tCO2e,,,,UK,
ALDI,2023,2022,Scope 1,Location,Measure,103822,tCO2e,103822,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1,Location,Measure,92734,tCO2e,92734,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 - 3,Location,Measure,239317,tCO2e,239317,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 - 3,Location,Measure,232957,tCO2e,232957,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 - 3,Location,Measure,231024,tCO2e,231024,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1 - 3,Location,Measure,231023,tCO2e,220123,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 - 3,Location,Measure,219865,tCO2e,219856,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 - 3,Location,Measure,221289,tCO2e,221289,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 - 3,Market,Measure,138486,tCO2e,138486,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 - 3,Market,Measure,131223,tCO2e,131223,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 - 3,Market,Measure,134666,tCO2e,134666,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 - 3,Market,Measure,131640,tCO2e,131640,tCO2e,,,,UK,
ALDI,2023,2022,Scope 1 - 3,Market,Measure,131897,tCO2e,131897,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 - 3,Market,Measure,125319,tCO2e,125319,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 and 2,Location,Measure,214364,tCO2e,214364,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 and 2,Location,Measure,208547,tCO2e,208547,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 and 2,Location,Measure,201980,tCO2e,201980,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1 and 2,Location,Measure,201820,tCO2e,201820,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 and 2,Location,Measure,191790,tCO2e,191790,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 and 2,Location,Measure,188704,tCO2e,188704,tCO2e,,,,UK,
ALDI,2020,2019,Scope 1 and 2,Market,Measure,113533,tCO2e,113533,tCO2e,,,,UK,
ALDI,2020,2020,Scope 1 and 2,Market,Measure,106812,tCO2e,106812,tCO2e,,,,UK,
ALDI,2021,2021,Scope 1 and 2,Market,Measure,105622,tCO2e,105622,tCO2e,,,,UK,
ALDI,2022,2021,Scope 1 and 2,Market,Measure,105463,tCO2e,105463,tCO2e,,,,UK,
ALDI,2022,2022,Scope 1 and 2,Market,Measure,103564,tCO2e,103564,tCO2e,,,,UK,
ALDI,2023,2023,Scope 1 and 2,Market,Measure,92734,tCO2e,92734,tCO2e,,,,UK,
ALDI,2020,2019,Scope 2,Location,Measure,100831,tCO2e,100831,tCO2e,,,,UK,
ALDI,2020,2020,Scope 2,Location,Measure,101734,tCO2e,101734,tCO2e,,,,UK,
ALDI,2021,2021,Scope 2,Location,Measure,96358,tCO2e,96358,tCO2e,,,,UK,
ALDI,2022,2022,Scope 2,Location,Measure,88226,tCO2e,88226,tCO2e,,,,UK,
ALDI,2023,2023,Scope 2,Location,Measure,95970,tCO2e,95970,tCO2e,,,,UK,
ALDI,2020,2019,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
