"retailer_code","year","kpi","kpi_type","method","unit","unit_neum","unit_denom_1","unit_denom_2","business_scope","value","retailer","new_store","total_store","new_area","total_area","hex"
"ALDI",2019,"Scope 1","Measure","Location","tCO2e","","","","UK",113533,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",21.2,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 - 3","Intensity","Market","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",12.27,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Energy","Measure",NA,"GWh","","","","UK",750.247,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",239317,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",138486,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.224,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",18.99,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",214364,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",113533,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 2","Measure","Location","tCO2e","","","","UK",100831,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2019,"Scope 3","Measure","Location","tCO2e","","","","UK",24953,"Aldi",60,830,50400,700980,"#0000FFFF"
"ALDI",2020,"Scope 1","Measure","Location","tCO2e","","","","UK",106812,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.23,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",9.4895,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 3","Measure","Location","tCO2e","","","","UK",24410,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Energy","Measure",NA,"GWh","","","","UK",795.826,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 - 3","Intensity","Market","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",5.34535,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",232957,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",131223,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.13,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",16.985,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",208547,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",106812,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.206,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2020,"Scope 2","Measure","Location","tCO2e","","","","UK",101734,"Aldi",51,881,42840,743820,"#0000FFFF"
"ALDI",2021,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.215,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",0.0187,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1","Measure","Location","tCO2e","","","","UK",105542.5,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Energy","Measure",NA,"GWh","","","","UK",798.298,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 3","Measure","Location","tCO2e","","","","UK",29123.5,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",225573.5,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",134666,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.125,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 - 3","Intensity","Market","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",0.0109,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",201900,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",105542.5,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.188,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",16.4,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 2","Measure","Location","tCO2e","","","","UK",96358,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2021,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"Aldi",57,938,47880,791700,"#0000FFFF"
"ALDI",2022,"Energy","Measure",NA,"GWh","","","","UK",801.789,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1","Measure","Location","tCO2e","","","","UK",103693,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 2","Measure","Location","tCO2e","","","","UK",88226,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 3","Measure","Location","tCO2e","","","","UK",28075,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.203,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",7.6789,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.1215,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 - 3","Intensity","Market","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",4.6012,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",219856,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",131768.5,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.171,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",13.39285,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",191790,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2022,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",103564,"Aldi",44,982,36960,828660,"#0000FFFF"
"ALDI",2023,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",92734,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 2","Measure","Location","tCO2e","","","","UK",95970,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Energy","Measure",NA,"GWh","","","","UK",806.664,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1","Measure","Location","tCO2e","","","","UK",92734,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.203,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",13.1117,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.115,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 - 3","Intensity","Market","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",7.4253,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",221289,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",125319,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.173,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",11.1809,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",188704,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ALDI",2023,"Scope 3","Measure","Location","tCO2e","","","","UK",32586,"Aldi",33,1015,27720,856380,"#0000FFFF"
"ASDA",2021,"Energy","Measure",NA,"GWh","","","","UK",233.9827,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2021,"Scope 1","Measure","Location","tCO2e","","","","UK",309131,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2021,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",26.61,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2021,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",624912,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2021,"Scope 2","Measure","Location","tCO2e","","","","UK",234548,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2021,"Scope 3","Measure","Location","tCO2e","","","","UK",233,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2021,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",543679,"Asda",0,627,0,1319920,"#1F9698FF"
"ASDA",2022,"Scope 3","Measure","Location","tCO2e","","","","UK",606,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2022,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",575505,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2022,"Scope 2","Measure","Location","tCO2e","","","","UK",206839,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2022,"Energy","Measure",NA,"GWh","","","","UK",223.0991,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2022,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",23.51,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2022,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",513526.5,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2022,"Scope 1","Measure","Location","tCO2e","","","","UK",306687.5,"Asda",2,629,280,1320200,"#1F9698FF"
"ASDA",2023,"Scope 1 - 3","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",20.16,"Asda",214,843,29960,1350160,"#1F9698FF"
"ASDA",2023,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",563130,"Asda",214,843,29960,1350160,"#1F9698FF"
"ASDA",2023,"Energy","Measure",NA,"GWh","","","","UK",226.4562,"Asda",214,843,29960,1350160,"#1F9698FF"
"ASDA",2023,"Scope 3","Measure","Location","tCO2e","","","","UK",821,"Asda",214,843,29960,1350160,"#1F9698FF"
"ASDA",2023,"Scope 2","Measure","Location","tCO2e","","","","UK",216994,"Asda",214,843,29960,1350160,"#1F9698FF"
"COOP",2014,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",72.18,"The Co-operative Group",1770,1770,622720,622720,"#009FFFFF"
"COOP",2014,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",734662,"The Co-operative Group",1770,1770,622720,622720,"#009FFFFF"
"COOP",2014,"Scope 1","Measure","Location","tCO2e","","","","UK",333877,"The Co-operative Group",1770,1770,622720,622720,"#009FFFFF"
"COOP",2014,"Scope 2","Measure","Market","tCO2e","","","","UK",7799,"The Co-operative Group",1770,1770,622720,622720,"#009FFFFF"
"COOP",2014,"Scope 2","Measure","Location","tCO2e","","","","UK",403386,"The Co-operative Group",1770,1770,622720,622720,"#009FFFFF"
"COOP",2015,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",68.16,"The Co-operative Group",2,1772,280,623000,"#009FFFFF"
"COOP",2015,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",701126.5,"The Co-operative Group",2,1772,280,623000,"#009FFFFF"
"COOP",2015,"Scope 1","Measure","Location","tCO2e","","","","UK",330698,"The Co-operative Group",2,1772,280,623000,"#009FFFFF"
"COOP",2015,"Scope 2","Measure","Market","tCO2e","","","","UK",3575,"The Co-operative Group",2,1772,280,623000,"#009FFFFF"
"COOP",2015,"Scope 2","Measure","Location","tCO2e","","","","UK",357520,"The Co-operative Group",2,1772,280,623000,"#009FFFFF"
"COOP",2016,"Scope 1","Measure","Location","tCO2e","","","","UK",342249,"The Co-operative Group",68,1840,13020,636020,"#009FFFFF"
"COOP",2016,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",338207,"The Co-operative Group",68,1840,13020,636020,"#009FFFFF"
"COOP",2016,"Scope 2","Measure","Location","tCO2e","","","","UK",310439,"The Co-operative Group",68,1840,13020,636020,"#009FFFFF"
"COOP",2016,"Scope 3","Measure","Location","tCO2e","","","","UK",4886,"The Co-operative Group",68,1840,13020,636020,"#009FFFFF"
"COOP",2016,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",63.5,"The Co-operative Group",68,1840,13020,636020,"#009FFFFF"
"COOP",2016,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",649613.5,"The Co-operative Group",68,1840,13020,636020,"#009FFFFF"
"COOP",2017,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",542480,"The Co-operative Group",150,1990,23800,659820,"#009FFFFF"
"COOP",2017,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"The Co-operative Group",150,1990,23800,659820,"#009FFFFF"
"COOP",2017,"Scope 1","Measure","Location","tCO2e","","","","UK",296717,"The Co-operative Group",150,1990,23800,659820,"#009FFFFF"
"COOP",2017,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",272065.5,"The Co-operative Group",150,1990,23800,659820,"#009FFFFF"
"COOP",2017,"Scope 2","Measure","Location","tCO2e","","","","UK",245766,"The Co-operative Group",150,1990,23800,659820,"#009FFFFF"
"COOP",2017,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",52.8,"The Co-operative Group",150,1990,23800,659820,"#009FFFFF"
"COOP",2018,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",42.7,"The Co-operative Group",71,2061,11340,671160,"#009FFFFF"
"COOP",2018,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",435980,"The Co-operative Group",71,2061,11340,671160,"#009FFFFF"
"COOP",2018,"Scope 1","Measure","Location","tCO2e","","","","UK",247417,"The Co-operative Group",71,2061,11340,671160,"#009FFFFF"
"COOP",2018,"Scope 2","Measure","Market","tCO2e","","","","UK",0,"The Co-operative Group",71,2061,11340,671160,"#009FFFFF"
"COOP",2018,"Scope 2","Measure","Location","tCO2e","","","","UK",188563,"The Co-operative Group",71,2061,11340,671160,"#009FFFFF"
"COOP",2019,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",36.4,"The Co-operative Group",171,2232,26740,697900,"#009FFFFF"
