"Retailer_Id","Year","KPI","KPI_Type","Method","Unit","Unit_Neum","Unit_Denom_1","Unit_Denom_2","Business_Scope","Value","New_Area","Total_Area","New_Store","Total_Store","Intensity"
"ALDI",2019,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",214364,50400,700980,60,830,0.305806157094354
"ALDI",2019,"Energy","Measure",NA,"GWh","","","","UK",750.247,50400,700980,60,830,0.00107028303232617
"ALDI",2019,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",239317,50400,700980,60,830,0.341403463722217
"ALDI",2019,"Scope 2","Measure","Location","tCO2e","","","","UK",100831,50400,700980,60,830,0.143842905646381
"ALDI",2019,"Scope 1","Measure",NA,"tCO2e","","","","UK",113533,50400,700980,60,830,0.161963251447973
"ALDI",2019,"Scope 2","Measure","Market","tCO2e","","","","UK",0,50400,700980,60,830,0
"ALDI",2019,"Scope 3","Measure",NA,"tCO2e","","","","UK",24953,50400,700980,60,830,0.0355973066278638
"ALDI",2019,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",113533,50400,700980,60,830,0.161963251447973
"ALDI",2019,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",138486,50400,700980,60,830,0.197560558075837
"ALDI",2020,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",208547,42840,743820,51,881,0.28037293968971
"ALDI",2020,"Scope 1","Measure",NA,"tCO2e","","","","UK",106812,42840,743820,51,881,0.143599257884972
"ALDI",2020,"Scope 2","Measure","Location","tCO2e","","","","UK",101734,42840,743820,51,881,0.136772337393455
"ALDI",2020,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",232957,42840,743820,51,881,0.31319001909064
"ALDI",2020,"Energy","Measure",NA,"GWh","","","","UK",795.826,42840,743820,51,881,0.00106991745314727
"ALDI",2020,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",106812,42840,743820,51,881,0.143599257884972
"ALDI",2020,"Scope 3","Measure",NA,"tCO2e","","","","UK",24410,42840,743820,51,881,0.0328170794009303
"ALDI",2020,"Scope 2","Measure","Market","tCO2e","","","","UK",0,42840,743820,51,881,0
"ALDI",2020,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",131223,42840,743820,51,881,0.176417681697185
"ALDI",2021,"Scope 1","Measure",NA,"tCO2e","","","","UK",105542.5,47880,791700,57,938,0.133311229000884
"ALDI",2021,"Scope 2","Measure","Market","tCO2e","","","","UK",0,47880,791700,57,938,0
"ALDI",2021,"Energy","Measure",NA,"GWh","","","","UK",798.298,47880,791700,57,938,0.00100833396488569
"ALDI",2021,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",225573.5,47880,791700,57,938,0.284922950612606
"ALDI",2021,"Scope 2","Measure","Location","tCO2e","","","","UK",96358,47880,791700,57,938,0.121710243779209
"ALDI",2021,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",201900,47880,791700,57,938,0.255020841227738
"ALDI",2021,"Scope 3","Measure",NA,"tCO2e","","","","UK",29123.5,47880,791700,57,938,0.0367860300618921
"ALDI",2021,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",134666,47880,791700,57,938,0.170097259062776
"ALDI",2021,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",105542.5,47880,791700,57,938,0.133311229000884
"ALDI",2022,"Scope 2","Measure","Location","tCO2e","","","","UK",88226,36960,828660,44,982,0.106468274081047
"ALDI",2022,"Scope 3","Measure",NA,"tCO2e","","","","UK",28075,36960,828660,44,982,0.033879999034586
"ALDI",2022,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",191790,36960,828660,44,982,0.231445948881326
"ALDI",2022,"Scope 1","Measure",NA,"tCO2e","","","","UK",103693,36960,828660,44,982,0.125133347814544
"ALDI",2022,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",103564,36960,828660,44,982,0.12497767480028
"ALDI",2022,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",220572.5,36960,828660,44,982,0.26617973595926
"ALDI",2022,"Energy","Measure",NA,"GWh","","","","UK",801.789,36960,828660,44,982,0.000967572949098545
"ALDI",2022,"Scope 2","Measure","Market","tCO2e","","","","UK",0,36960,828660,44,982,0
"ALDI",2022,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",131768.5,36960,828660,44,982,0.159013950232906
"ALDI",2023,"Scope 3","Measure",NA,"tCO2e","","","","UK",32586,27720,856380,33,1015,0.0380508652700904
"ALDI",2023,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",92734,27720,856380,33,1015,0.108286041243373
"ALDI",2023,"Energy","Measure",NA,"GWh","","","","UK",806.664,27720,856380,33,1015,0.00094194633223569
"ALDI",2023,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",188704,27720,856380,33,1015,0.220350778859852
"ALDI",2023,"Scope 2","Measure","Market","tCO2e","","","","UK",0,27720,856380,33,1015,0
"ALDI",2023,"Scope 1","Measure",NA,"tCO2e","","","","UK",92734,27720,856380,33,1015,0.108286041243373
"ALDI",2023,"Scope 1 - 3","Measure","Market","tCO2e","","","","UK",125319,27720,856380,33,1015,0.146335738807539
"ALDI",2023,"Scope 2","Measure","Location","tCO2e","","","","UK",95970,27720,856380,33,1015,0.112064737616479
"ASDA",2021,"Scope 3","Measure","Location","tCO2e","","","","UK",233,0,1320200,0,629,0.000176488410846841
"ASDA",2021,"Energy","Measure",NA,"GWh","","","","UK",233.9827,0,1320200,0,629,0.00017723276776246
"ASDA",2021,"Scope 2","Measure","Location","tCO2e","","","","UK",234548,0,1320200,0,629,0.177660960460536
"ASDA",2021,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",624912,0,1320200,0,629,0.473346462657173
"ASDA",2021,"Scope 1","Measure",NA,"tCO2e","","","","UK",309131,0,1320200,0,629,0.234154673534313
"ASDA",2022,"Scope 3","Measure","Location","tCO2e","","","","UK",606,280,1320200,2,629,0.000459021360399939
"ASDA",2022,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",575505,280,1320200,2,629,0.435922587486744
"ASDA",2022,"Scope 2","Measure","Location","tCO2e","","","","UK",206839,280,1320200,2,629,0.156672473867596
"ASDA",2022,"Scope 1","Measure",NA,"tCO2e","","","","UK",306687.5,280,1320200,2,629,0.232303817603393
"ASDA",2022,"Energy","Measure",NA,"GWh","","","","UK",223.0991,280,1320200,2,629,0.000168988865323436
"ASDA",2023,"Scope 3","Measure","Location","tCO2e","","","","UK",821,29960,1350160,214,843,0.000608076079872015
"ASDA",2023,"Scope 2","Measure","Location","tCO2e","","","","UK",216994,29960,1350160,214,843,0.160717248326124
"ASDA",2023,"Scope 1 - 3","Measure","Location","tCO2e","","","","UK",563130,29960,1350160,214,843,0.417083901167269
"ASDA",2023,"Energy","Measure",NA,"GWh","","","","UK",226.4562,29960,1350160,214,843,0.000167725454760917
