"Retailer_Id","Year","KPI","KPI_Type","Method","Unit","Unit_Neum","Unit_Denom_1","Unit_Denom_2","Business_Scope","Value","New_Area","Total_Area","New_Store","Total_Store"
"ALDI",2019,"Scope 1 - 3","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",12.27,50400,700980,60,830
"ALDI",2019,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.224,50400,700980,60,830
"ALDI",2019,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",18.99,50400,700980,60,830
"ALDI",2019,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",21.2,50400,700980,60,830
"ALDI",2020,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",9.4895,42840,743820,51,881
"ALDI",2020,"Scope 1 - 3","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",5.34535,42840,743820,51,881
"ALDI",2020,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.206,42840,743820,51,881
"ALDI",2020,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.23,42840,743820,51,881
"ALDI",2020,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.13,42840,743820,51,881
"ALDI",2020,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",8.4935,42840,743820,51,881
"ALDI",2021,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.188,47880,791700,57,938
"ALDI",2021,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.215,47880,791700,57,938
"ALDI",2021,"Scope 1 - 3","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",0.0109,47880,791700,57,938
"ALDI",2021,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",0.0164,47880,791700,57,938
"ALDI",2021,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",0.0187,47880,791700,57,938
"ALDI",2021,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.125,47880,791700,57,938
"ALDI",2022,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",6.69955,36960,828660,44,982
"ALDI",2022,"Scope 1 - 3","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",4.6012,36960,828660,44,982
"ALDI",2022,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",7.6789,36960,828660,44,982
"ALDI",2022,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.171,36960,828660,44,982
"ALDI",2022,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.1215,36960,828660,44,982
"ALDI",2022,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.203,36960,828660,44,982
"ALDI",2023,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.173,27720,856380,33,1015
"ALDI",2023,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",11.1809,27720,856380,33,1015
"ALDI",2023,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",13.1117,27720,856380,33,1015
"ALDI",2023,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.203,27720,856380,33,1015
"ALDI",2023,"Scope 1 - 3","Intensity","Market","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.115,27720,856380,33,1015
"ALDI",2023,"Scope 1 - 3","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",7.4253,27720,856380,33,1015
"ASDA",2021,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",26.61,0,1320200,0,629
"ASDA",2022,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",23.51,280,1320200,2,629
"ASDA",2023,"Scope 1 - 3","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",20.16,29960,1350160,214,843
"COOP",2010,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",76.84,NA,NA,NA,NA
"COOP",2011,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",66.93,NA,NA,NA,NA
"COOP",2012,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",62.21,NA,NA,NA,NA
"COOP",2013,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",62.85,NA,NA,NA,NA
"COOP",2014,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",72.18,NA,622720,NA,1770
"COOP",2015,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",68.16,280,623000,2,1772
"COOP",2016,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",63.5,13020,636020,68,1840
"COOP",2017,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",52.8,23800,659820,150,1990
"COOP",2018,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",42.7,11340,671160,71,2061
"COOP",2019,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",36.4,26740,697900,171,2232
"COOP",2020,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",30.5,7700,705600,50,2282
"COOP",2021,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",28.6,6440,712040,36,2318
"COOP",2022,"Scope 1 and 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",25.3,11620,723660,83,2401
"ICE",2019,"Scope","Intensity","Location","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0583,45360,716240,54,891
"ICE",2019,"Scope","Intensity","Market","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0211,45360,716240,54,891
"ICE",2020,"Scope","Intensity","Location","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0509,20160,736400,24,915
"ICE",2020,"Scope","Intensity","Market","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.021,20160,736400,24,915
"ICE",2021,"Scope","Intensity","Location","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0487,13440,749840,16,931
"ICE",2021,"Scope","Intensity","Market","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0205,13440,749840,16,931
"ICE",2022,"Scope","Intensity","Market","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0183,15960,765800,19,950
"ICE",2022,"Scope","Intensity","Location","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0442,15960,765800,19,950
"ICE",2023,"Scope","Intensity","Market","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0163,7560,773360,9,959
"ICE",2023,"Scope","Intensity","Location","tCO2e/£m Sales Revenue","tCO2e","£m","Sales Revenue","UK",0.0395,7560,773360,9,959
"JLP",2013,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",53.7,NA,NA,NA,NA
"JLP",2014,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",57,NA,481880,NA,389
"JLP",2014,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",53.95,NA,481880,NA,389
"JLP",2015,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",27.7,19600,501480,13,402
"JLP",2015,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",50.25,19600,501480,13,402
"JLP",2016,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",22.6,14840,516320,11,413
"JLP",2016,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",45.7,14840,516320,11,413
"JLP",2017,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",19.9,6440,522760,7,420
"JLP",2017,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",39.3,6440,522760,7,420
"JLP",2018,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",34.2,4340,527100,3,423
"JLP",2018,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",19,4340,527100,3,423
"JLP",2019,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",30.9,0,527240,0,424
"JLP",2019,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",17.7,0,527240,0,424
"JLP",2020,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",25.5,0,527240,0,424
"JLP",2020,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",15,0,527240,0,424
"JLP",2021,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",12.6,0,527240,0,424
"JLP",2021,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",22,0,527240,0,424
"JLP",2022,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",11.25,0,527240,0,424
"JLP",2022,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",19.75,0,527240,0,424
"JLP",2023,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",10.85,0,527240,0,424
"JLP",2023,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",18.1,0,527240,0,424
"JLP",2024,"Scope 2","Intensity","Location","tCO2e/£m Sales","tCO2e","£m","Sales","UK",16.7,140,527240,1,424
"JLP",2024,"Scope 2","Intensity","Market","tCO2e/£m Sales","tCO2e","£m","Sales","UK",9.85,140,527240,1,424
"LIDL",2020,"Scope","Intensity",NA,"tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.0963,49560,717780,59,835
"LIDL",2021,"Scope","Intensity",NA,"tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.0693333333333333,54600,772380,65,900
"LIDL",2022,"Scope","Intensity",NA,"tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK",0.0679,52080,824460,62,962
"M&S",2006,"Energy","Intensity",NA,"KWh/m2 Sales Floor","KWh","m2","Sales Floor","UK and Europe",6.3081,NA,NA,NA,NA
"M&S",2006,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",4.8309,NA,NA,NA,NA
"M&S",2009,"Energy","Intensity",NA,"KWh/m2 Sales Floor","KWh","m2","Sales Floor","UK and Europe",4.2549,NA,NA,NA,NA
"M&S",2009,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",3.809,NA,NA,NA,NA
"M&S",2010,"Energy","Intensity",NA,"KWh/m2 Sales Floor","KWh","m2","Sales Floor","UK and Europe",4.8309,NA,NA,NA,NA
"M&S",2010,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",3.5303,NA,NA,NA,NA
"M&S",2011,"Energy","Intensity",NA,"KWh/m2 Sales Floor","KWh","m2","Sales Floor","UK and Europe",4.5615,NA,NA,NA,NA
"M&S",2011,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",2.5084,NA,NA,NA,NA
"M&S",2012,"Energy","Intensity",NA,"KWh/m2 Sales Floor","KWh","m2","Sales Floor","UK and Europe",3.1587,NA,NA,NA,NA
"M&S",2013,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",2.7871,NA,NA,NA,NA
"M&S",2014,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",2.6942,NA,462980,NA,651
"M&S",2015,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",2.6942,24220,487200,32,683
"M&S",2016,"Scope 1 - 3","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",2.4155,51800,539000,125,808
"M&S",2016,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",3.7161,51800,539000,125,808
"M&S",2017,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",2.1368,40740,579740,75,883
"M&S",2018,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",1.7651,22400,602140,41,924
"M&S",2019,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",1.6722,18900,621040,31,955
"M&S",2020,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",1.4864,14700,635740,17,972
"M&S",2021,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",1.5886,6580,642320,23,995
"M&S",2022,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",1.66295,18480,660800,17,1012
"M&S",2023,"Scope 1 and 2","Intensity","Location","tCO2e/m2 Sales Floor","tCO2e","m2","Sales Floor","UK and Europe",1.6815,25760,686560,17,1029
"MORR",2005,"Scope","Intensity","Location","tCO2e/m2 GIA","tCO2e","m2","GIA","UK",0.005,NA,NA,NA,NA
"MORR",2017,"Scope","Intensity","Location","tCO2e/m2 GIA","tCO2e","m2","GIA","UK",0.17935,0,1122800,0,480
"MORR",2018,"Scope","Intensity","Location","tCO2e/m2 GIA","tCO2e","m2","GIA","UK",0.1491,5040,1122800,3,480
